pkMemberSeason,fkMemberID,Season,MemberType,RatingPoints
9991,60,2015 - 2016,Regular,20
9992,349,2015 - 2016,Regular,5
9993,94,2015 - 2016,Regular,17
9994,331,2015 - 2016,Regular,15
9995,55,2015 - 2016,Regular,7
9996,81,2015 - 2016,Regular,16
9997,176,2015 - 2016,Regular,3
9998,201,2015 - 2016,Regular,18
9999,437,2015 - 2016,Regular,11
10000,277,2015 - 2016,Regular,17
10001,182,2015 - 2016,Regular,7
10002,511,2015 - 2016,Regular,17
10003,509,2015 - 2016,Regular,5
10004,306,2015 - 2016,Regular,19
10005,179,2015 - 2016,Regular,8
10006,133,2015 - 2016,Regular,4
10007,87,2015 - 2016,Regular,5
10008,168,2015 - 2016,Regular,18
10009,290,2015 - 2016,Regular,8
10010,378,2015 - 2016,Regular,16
10011,409,2015 - 2016,Regular,19
10012,305,2015 - 2016,Regular,16
10013,18,2015 - 2016,Regular,7
10014,167,2015 - 2016,Regular,16
10015,313,2015 - 2016,Regular,14
10016,440,2015 - 2016,Regular,8
10017,454,2015 - 2016,Regular,18
10018,159,2015 - 2016,Regular,16
10019,187,2015 - 2016,Regular,8
10020,184,2015 - 2016,Honorary,17
10021,394,2015 - 2016,Regular,8
10022,144,2015 - 2016,Regular,2
10023,460,2015 - 2016,Regular,17
10024,247,2015 - 2016,Regular,7
10027,203,2015 - 2016,Regular,5
10028,334,2015 - 2016,Regular,18
10029,115,2015 - 2016,Regular,17
10030,107,2015 - 2016,Regular,16
10032,22,2015 - 2016,Regular,13
10033,13,2015 - 2016,Regular,13
10035,455,2015 - 2016,Regular,8
10036,219,2015 - 2016,Mixed,8
10037,37,2015 - 2016,Regular,18
10038,384,2015 - 2016,Regular,17
10039,385,2015 - 2016,Regular,18
10040,298,2015 - 2016,Regular,14
10041,571,2015 - 2016,Regular,9
10042,496,2015 - 2016,Regular,17
10043,270,2015 - 2016,Regular,15
10044,575,2015 - 2016,Regular,17
10045,386,2015 - 2016,Regular,19
10046,276,2015 - 2016,Regular,16
10047,350,2015 - 2016,Regular,16
10049,322,2015 - 2016,Regular,15
10051,577,2015 - 2016,Regular,7
10052,50,2015 - 2016,Regular,7
10054,514,2015 - 2016,Regular,17
10055,461,2015 - 2016,Regular,20
10056,265,2015 - 2016,Regular,4
10057,578,2015 - 2016,Regular,14
10059,192,2015 - 2016,Unknown,20
10060,61,2015 - 2016,Regular,19
10061,63,2015 - 2016,Unknown,0
10062,579,2015 - 2016,Regular,13
10063,318,2015 - 2016,Regular,16
10064,44,2015 - 2016,Student,13
10066,330,2015 - 2016,Regular,10
10067,268,2015 - 2016,Regular,16
10068,495,2015 - 2016,Regular,14
10069,364,2015 - 2016,Regular,11
10070,319,2015 - 2016,Regular,8
10071,246,2015 - 2016,Regular,7
10072,585,2015 - 2016,Regular,15
10073,586,2015 - 2016,Regular,15
10074,587,2015 - 2016,Regular,6
10075,418,2015 - 2016,Regular,12
10076,138,2015 - 2016,Regular,6
10077,377,2015 - 2016,Regular,16
10078,588,2015 - 2016,Life,0
10079,589,2015 - 2016,Regular,5
10080,146,2015 - 2016,Regular,19
10082,591,2015 - 2016,Regular,15
10084,196,2015 - 2016,Regular,13
10085,593,2015 - 2016,Regular,7
10086,594,2015 - 2016,Regular,7
10087,598,2015 - 2016,Regular,4
10089,492,2015 - 2016,Regular,13
10090,445,2015 - 2016,Regular,7
10091,151,2015 - 2016,Competitive,20
10092,53,2015 - 2016,Regular,8
10093,605,2015 - 2016,Senior,17
10094,606,2015 - 2016,Life,0
10095,27,2015 - 2016,Regular,10
10097,608,2015 - 2016,Regular,15
10099,612,2015 - 2016,Regular,4
10100,6,2015 - 2016,Regular,5
10101,195,2015 - 2016,Regular,17
10102,444,2015 - 2016,Regular,10
10103,178,2015 - 2016,Regular,7
10104,446,2015 - 2016,Regular,16
10105,193,2015 - 2016,Regular,20
10106,33,2015 - 2016,Regular,14
10107,615,2015 - 2016,Student,6
10108,30,2015 - 2016,Regular,10
10109,180,2015 - 2016,Regular,11
10111,396,2015 - 2016,Regular,13
10112,127,2015 - 2016,Regular,11
10113,618,2015 - 2016,Regular,2
10115,624,2015 - 2016,Regular,8
10116,121,2015 - 2016,Regular,13
10117,518,2015 - 2016,Regular,6
10118,266,2015 - 2016,Regular,13
10121,145,2015 - 2016,Regular,7
10122,213,2015 - 2016,Regular,9
10123,631,2015 - 2016,Regular,7
10124,633,2015 - 2016,Regular,5
10125,9,2015 - 2016,Regular,13
10126,634,2015 - 2016,Regular,16
10127,635,2015 - 2016,Regular,9
10128,638,2015 - 2016,Regular,7
10129,118,2015 - 2016,Regular,10
10130,640,2015 - 2016,Regular,7
10131,643,2015 - 2016,Regular,6
10132,645,2015 - 2016,Regular,5
10133,648,2015 - 2016,Regular,8
10134,649,2015 - 2016,Regular,4
10135,650,2015 - 2016,Regular,5
10136,387,2015 - 2016,Regular,11
10139,655,2015 - 2016,Honorary,0
10140,656,2015 - 2016,Honorary,0
10142,657,2015 - 2016,Honorary,0
10143,659,2015 - 2016,Regular,6
10144,675,2015 - 2016,Senior,0
10145,498,2015 - 2016,Regular,13
10146,677,2015 - 2016,Student,7
10147,682,2015 - 2016,Regular,13
10150,686,2015 - 2016,Regular,12
10152,690,2015 - 2016,Regular,4
10153,691,2015 - 2016,Regular,17
10154,697,2015 - 2016,Regular,5
10155,701,2015 - 2016,Regular,9
10156,707,2015 - 2016,Regular,7
10157,708,2015 - 2016,Regular,4
10158,709,2015 - 2016,Regular,5
10159,712,2015 - 2016,Regular,6
10160,714,2015 - 2016,Regular,4
10161,715,2015 - 2016,Regular,7
10162,717,2015 - 2016,Regular,7
10163,718,2015 - 2016,Regular,5
10164,723,2015 - 2016,Regular,5
10165,724,2015 - 2016,Regular,7
10167,726,2015 - 2016,Regular,6
10168,730,2015 - 2016,Mixed,2
10169,732,2015 - 2016,Regular,5
10170,263,2015 - 2016,Regular,17
10171,739,2015 - 2016,Regular,5
10173,742,2015 - 2016,Regular,5
10174,743,2015 - 2016,Regular,16
10176,746,2015 - 2016,Regular,7
10177,748,2015 - 2016,Regular,5
10179,755,2015 - 2016,Regular,5
10180,756,2015 - 2016,Regular,8
10181,757,2015 - 2016,Regular,5
10182,763,2015 - 2016,Regular,12
10183,173,2015 - 2016,Regular,7
10187,777,2015 - 2016,Senior,0
10188,778,2015 - 2016,Regular,5
10189,781,2015 - 2016,Regular,4
10190,754,2015 - 2016,Regular,4
10191,786,2015 - 2016,Regular,4
10192,787,2015 - 2016,Regular,3
10193,789,2015 - 2016,Regular,5
10194,792,2015 - 2016,Regular,13
10195,793,2015 - 2016,Regular,18
10197,796,2015 - 2016,Student,3
10198,797,2015 - 2016,Regular,4
10199,798,2015 - 2016,Regular,3
10201,800,2015 - 2016,Regular,3
10202,801,2015 - 2016,Social,3
10203,1803,2015 - 2016,Regular,4
10204,1804,2015 - 2016,Regular,6
10205,569,2015 - 2016,Regular,15
10206,1807,2015 - 2016,Regular,5
10207,1809,2015 - 2016,Regular,7
10208,1811,2015 - 2016,Regular,4
10209,240,2015 - 2016,Regular,17
10210,1815,2015 - 2016,Regular,5
10211,1816,2015 - 2016,Regular,2
10212,1817,2015 - 2016,Regular,3
10213,1818,2015 - 2016,Regular,4
10214,269,2015 - 2016,Regular,10
10215,1820,2015 - 2016,Regular,3
10217,465,2015 - 2016,Regular,8
10218,1823,2015 - 2016,Second Year,3
10219,1824,2015 - 2016,Regular,2
10221,1826,2015 - 2016,Regular,3
10223,1830,2015 - 2016,Regular,2
10224,1833,2015 - 2016,Regular,5
10225,1837,2015 - 2016,Regular,3
10226,1838,2015 - 2016,Regular,4
10228,1840,2015 - 2016,Regular,3
10229,369,2015 - 2016,Regular,10
10230,38,2015 - 2016,Regular,15
10232,1850,2015 - 2016,Regular,4
10234,317,2015 - 2016,Regular,8
10235,1854,2015 - 2016,Regular,5
10236,2854,2015 - 2016,Regular,3
10237,402,2015 - 2016,Regular,8
10238,573,2015 - 2016,Regular,5
10239,2858,2015 - 2016,Regular,3
10240,303,2015 - 2016,Regular,19
10242,170,2015 - 2016,Regular,16
10243,2864,2015 - 2016,Second Year,3
10246,3893,2015 - 2016,Second Year,4
10247,3894,2015 - 2016,Second Year,3
10248,3895,2015 - 2016,Regular,15
10251,584,2015 - 2016,Regular,9
10252,112,2015 - 2016,Regular,5
10253,3904,2015 - 2016,Regular,5
10254,3905,2015 - 2016,Second Year,2
10255,3909,2015 - 2016,Second Year,2
10256,3910,2015 - 2016,Regular,10
10257,519,2015 - 2016,Regular,18
10258,3911,2015 - 2016,Second Year,3
10259,3912,2015 - 2016,Second Year,2
10261,3916,2015 - 2016,Second Year,4
10262,3920,2015 - 2016,Second Year,4
10263,3921,2015 - 2016,Second Year,2
10264,3922,2015 - 2016,Second Year,2
10268,3933,2015 - 2016,Regular,3
10269,3934,2015 - 2016,Second Year,3
10270,738,2015 - 2016,Regular,2
10271,3936,2015 - 2016,Regular,3
10272,3937,2015 - 2016,Second Year,2
10273,3938,2015 - 2016,Second Year,3
10274,3940,2015 - 2016,Regular,8
10275,3942,2015 - 2016,Regular,7
10278,3948,2015 - 2016,Regular,5
10282,3958,2015 - 2016,Regular,13
10284,4949,2015 - 2016,Second Year,2
10285,4950,2015 - 2016,Second Year,2
10286,4953,2015 - 2016,Second Year,2
10288,4956,2015 - 2016,Second Year,3
10289,4957,2015 - 2016,Second Year,2
10290,4958,2015 - 2016,Second Year,2
10293,4963,2015 - 2016,Regular,16
10295,4967,2015 - 2016,Second Year,2
10296,4969,2015 - 2016,Second Year,2
10298,4971,2015 - 2016,Regular,4
10300,4979,2015 - 2016,Second Year,2
10302,4984,2015 - 2016,Second Year,3
10305,4988,2015 - 2016,Second Year,3
10307,4991,2015 - 2016,Second Year,3
10311,4999,2015 - 2016,Regular,4
10313,5001,2015 - 2016,Second Year,2
10318,5007,2015 - 2016,Second Year,2
10319,5011,2015 - 2016,Second Year,3
10320,5012,2015 - 2016,Second Year,3
10321,5016,2015 - 2016,Student,2
10322,5017,2015 - 2016,Second Year,3
10323,5018,2015 - 2016,Regular,6
10325,5020,2015 - 2016,Second Year,3
10327,5022,2015 - 2016,Second Year,2
10329,5024,2015 - 2016,Second Year,3
10335,5033,2015 - 2016,Second Year,2
10336,5034,2015 - 2016,Second Year,3
10337,6032,2015 - 2016,Second Year,3
10338,6033,2015 - 2016,Second Year,2
10341,6036,2015 - 2016,Second Year,2
10342,6037,2015 - 2016,Second Year,2
10343,172,2015 - 2016,Senior,18
10345,6039,2015 - 2016,Second Year,2
10346,6040,2015 - 2016,Second Year,2
10348,6042,2015 - 2016,Regular,6
10349,6043,2015 - 2016,Regular,3
10358,6056,2015 - 2016,Social,0
10359,6057,2015 - 2016,Second Year,2
10360,6058,2015 - 2016,Second Year,3
10361,6059,2015 - 2016,Second Year,2
10362,6061,2015 - 2016,Second Year,2
10364,6063,2015 - 2016,Second Year,2
10365,6064,2015 - 2016,Student,1
10366,6065,2015 - 2016,Second Year,2
10367,6066,2015 - 2016,Second Year,3
10370,6071,2015 - 2016,Second Year,2
10371,293,2015 - 2016,Regular,17
10373,6073,2015 - 2016,Second Year,2
10375,500,2015 - 2016,Regular,16
10377,533,2015 - 2016,Regular,7
10380,354,2015 - 2016,Honorary,0
10383,7083,2015 - 2016,First Year,1
10387,7087,2015 - 2016,First Year,1
10388,7088,2015 - 2016,Learn2Curl,1
10389,7089,2015 - 2016,Learn2Curl,1
10392,7092,2015 - 2016,Mixed,1
10393,5005,2015 - 2016,First Year,1
10394,206,2015 - 2016,Regular,6
10395,516,2015 - 2016,Regular,8
10397,7095,2015 - 2016,First Year,1
10398,7096,2015 - 2016,First Year,1
10399,7097,2015 - 2016,Mixed,1
10400,7098,2015 - 2016,Mixed,1
10403,74,2015 - 2016,Regular,10
10404,7101,2015 - 2016,First Year,1
10407,7104,2015 - 2016,First Year,1
10408,7105,2015 - 2016,Regular,4
10409,7106,2015 - 2016,Learn2Curl,1
10410,7107,2015 - 2016,Learn2Curl,1
10411,478,2015 - 2016,Unknown,0
10414,762,2015 - 2016,Regular,2
10415,685,2015 - 2016,Regular,8
10419,7113,2015 - 2016,First Year,1
10420,7114,2015 - 2016,First Year,1
10422,7116,2015 - 2016,Learn2Curl,1
10423,7117,2015 - 2016,Learn2Curl,1
10424,553,2015 - 2016,Regular,5
10425,7118,2015 - 2016,Regular,14
10426,7119,2015 - 2016,First Year,1
10427,7120,2015 - 2016,First Year,1
10428,7121,2015 - 2016,Mixed,1
10429,7122,2015 - 2016,Second Year,4
10430,79,2015 - 2016,Mixed,15
10432,7125,2015 - 2016,First Year,1
10433,7126,2015 - 2016,First Year,1
10435,204,2015 - 2016,Regular,13
10436,7128,2015 - 2016,Learn2Curl,1
10437,7129,2015 - 2016,First Year,1
10440,7132,2015 - 2016,First Year,1
10441,255,2015 - 2016,Mixed,14
10442,7133,2015 - 2016,First Year,1
10443,663,2015 - 2016,Senior,0
10444,7134,2015 - 2016,Learn2Curl,1
10445,7135,2015 - 2016,Learn2Curl,1
10446,7136,2015 - 2016,Regular,18
10447,7137,2015 - 2016,Learn2Curl,1
10448,7138,2015 - 2016,Learn2Curl,1
10449,7139,2015 - 2016,Learn2Curl,1
10450,7140,2015 - 2016,Learn2Curl,1
10451,7141,2015 - 2016,Learn2Curl,1
10452,7142,2015 - 2016,Regular,18
10453,7143,2015 - 2016,First Year,1
10454,7144,2015 - 2016,First Year,1
10455,7145,2015 - 2016,Learn2Curl,1
10459,7149,2015 - 2016,Learn2Curl,1
10460,7150,2015 - 2016,Learn2Curl,1
10461,7151,2015 - 2016,First Year,1
10462,7152,2015 - 2016,First Year,1
10466,7156,2015 - 2016,First Year,1
10467,7157,2015 - 2016,Learn2Curl,1
10468,7158,2015 - 2016,Learn2Curl,1
10469,7159,2015 - 2016,First Year,1
10471,7161,2015 - 2016,Learn2Curl,1
10472,7162,2015 - 2016,Learn2Curl,1
10473,7163,2015 - 2016,Regular,8
10475,7165,2015 - 2016,Learn2Curl,1
10476,7166,2015 - 2016,First Year,1
10477,7167,2015 - 2016,First Year,4
10478,7168,2015 - 2016,First Year,1
10480,7170,2015 - 2016,Student,0
10482,7078,2015 - 2016,Regular,15
10483,7171,2015 - 2016,First Year,1
10484,7172,2015 - 2016,First Year,1
10485,7173,2015 - 2016,First Year,1
10487,7175,2015 - 2016,First Year,1
10488,7176,2015 - 2016,Regular,5
10489,7177,2015 - 2016,Regular,10
10490,7178,2015 - 2016,Regular,6
10491,7179,2015 - 2016,First Year,8
10494,7182,2015 - 2016,First Year,1
10495,7183,2015 - 2016,Second Year,1
10497,7185,2015 - 2016,Regular,5
10498,7186,2015 - 2016,Regular,8
10499,7187,2015 - 2016,Student,1
10500,7188,2015 - 2016,Student,1
10503,7191,2015 - 2016,First Year,1
10504,7192,2015 - 2016,First Year,1
10505,7193,2015 - 2016,First Year,1
10506,7194,2015 - 2016,First Year,1
10507,7195,2015 - 2016,First Year,1
10508,7196,2015 - 2016,First Year,1
10510,7198,2015 - 2016,Learn2Curl,1
10512,7200,2015 - 2016,Learn2Curl,1
10513,7201,2015 - 2016,First Year,1
10515,7202,2015 - 2016,First Year,1
10517,7204,2015 - 2016,First Year,1
10519,7206,2015 - 2016,Regular,10
10520,7207,2015 - 2016,Prospective,1
10521,7208,2015 - 2016,Regular,10
10522,7209,2015 - 2016,First Year,1
10523,7210,2015 - 2016,First Year,1
10524,1847,2015 - 2016,Senior,0
10527,7212,2015 - 2016,First Year,1
10528,7213,2015 - 2016,First Year,1
10529,7214,2015 - 2016,First Year,1
10530,452,2015 - 2016,Regular,0
10531,7215,2015 - 2016,First Year,1
10534,7218,2015 - 2016,First Year,1
10535,7219,2015 - 2016,First Year,1
10536,7220,2015 - 2016,First Year,1
10537,7221,2015 - 2016,Second Year,1
10538,7222,2015 - 2016,First Year,1
10539,237,2015 - 2016,Regular,20
10540,7223,2015 - 2016,First Year,1
10542,7225,2015 - 2016,Prospective,1
10543,782,2015 - 2016,Competitive,0
10545,459,2015 - 2016,Regular,16
10546,6034,2015 - 2016,Second Year,2
10547,7226,2015 - 2016,Unknown,17
10548,337,2015 - 2016,Unknown,0
10549,7227,2015 - 2016,First Year,1
10550,114,2015 - 2016,Social,0
10551,7228,2015 - 2016,First Year,1
10552,7229,2015 - 2016,First Year,1
10553,7230,2015 - 2016,Regular,12
10554,7231,2015 - 2016,Regular,12
10555,7232,2015 - 2016,Prospective,0
10556,388,2015 - 2016,Social,0
10557,295,2015 - 2016,Regular,9
10558,7233,2015 - 2016,Prospective,1
10559,775,2015 - 2016,Regular,2
10560,7234,2015 - 2016,Prospective,1
10561,744,2015 - 2016,Senior,2
10562,7235,2015 - 2016,Mixed,0
10563,7236,2015 - 2016,Prospective,1
10564,264,2016 - 2017,Regular,15
10565,310,2016 - 2017,Regular,16
10566,23,2016 - 2017,Regular,10
10567,427,2016 - 2017,Regular,16
10568,111,2016 - 2017,Regular,19
10569,93,2016 - 2017,Regular,14
10570,83,2016 - 2017,Regular,12
10571,99,2016 - 2017,Regular,19
10572,82,2016 - 2017,Regular,16
10573,122,2016 - 2017,Regular,19
10574,231,2016 - 2017,Regular,15
10576,91,2016 - 2017,Regular,9
10577,218,2016 - 2017,Regular,13
10578,376,2016 - 2017,Regular,10
10579,25,2016 - 2017,Regular,18
10580,258,2016 - 2017,Regular,17
10581,457,2016 - 2017,Regular,8
10582,410,2016 - 2017,Regular,19
10583,34,2016 - 2017,Regular,14
10584,194,2016 - 2017,Regular,15
10585,373,2016 - 2017,Regular,17
10586,59,2016 - 2017,Regular,9
10587,463,2016 - 2017,Social,7
10588,71,2016 - 2017,Regular,13
10589,471,2016 - 2017,Regular,16
10590,149,2016 - 2017,Regular,14
10591,406,2016 - 2017,Regular,4
10592,439,2016 - 2017,Senior,0
10593,26,2016 - 2017,Regular,8
10594,143,2016 - 2017,Senior,15
10595,163,2016 - 2017,Regular,8
10596,332,2016 - 2017,Regular,16
10597,105,2016 - 2017,Regular,11
10598,380,2016 - 2017,Regular,12
10599,470,2016 - 2017,Regular,16
10600,321,2016 - 2017,Regular,16
10601,209,2016 - 2017,Regular,19
10602,142,2016 - 2017,Regular,13
10603,447,2016 - 2017,Regular,15
10604,191,2016 - 2017,Regular,13
10605,481,2016 - 2017,Regular,10
10606,343,2016 - 2017,Regular,13
10607,274,2016 - 2017,Regular,9
10608,15,2016 - 2017,Regular,7
10609,401,2016 - 2017,Regular,14
10610,351,2016 - 2017,Regular,4
10611,502,2016 - 2017,Regular,19
10612,534,2016 - 2017,Regular,15
10613,398,2016 - 2017,Regular,18
10615,86,2016 - 2017,Senior,0
10616,411,2016 - 2017,Regular,8
10617,152,2016 - 2017,Regular,18
10618,216,2016 - 2017,Regular,6
10620,202,2016 - 2017,Regular,15
10621,297,2016 - 2017,Regular,15
10622,486,2016 - 2017,Regular,8
10623,347,2016 - 2017,Regular,20
10624,488,2016 - 2017,Regular,14
10625,28,2016 - 2017,Regular,15
10626,205,2016 - 2017,Regular,12
10627,210,2016 - 2017,Regular,17
10628,46,2016 - 2017,Regular,17
10629,273,2016 - 2017,Regular,18
10632,208,2016 - 2017,Regular,17
10633,233,2016 - 2017,Regular,15
10634,435,2016 - 2017,Regular,17
10635,453,2016 - 2017,Regular,16
10636,252,2016 - 2017,Regular,12
10637,419,2016 - 2017,Regular,18
10638,368,2016 - 2017,Regular,14
10639,113,2016 - 2017,Regular,13
10640,249,2016 - 2017,Regular,6
10641,211,2016 - 2017,Regular,13
10642,523,2016 - 2017,Regular,17
10643,262,2016 - 2017,Regular,18
10644,136,2016 - 2017,Regular,7
10645,220,2016 - 2017,Regular,13
10646,360,2016 - 2017,Regular,17
10648,171,2016 - 2017,Regular,18
10649,117,2016 - 2017,Regular,15
10650,230,2016 - 2017,Regular,14
10652,473,2016 - 2017,Social,17
10653,393,2016 - 2017,Regular,13
10654,245,2016 - 2017,Regular,19
10655,474,2016 - 2017,Regular,18
10656,451,2016 - 2017,Regular,14
10657,279,2016 - 2017,Regular,12
10658,524,2016 - 2017,Regular,17
10659,312,2016 - 2017,Regular,16
10660,166,2016 - 2017,Regular,17
10661,361,2016 - 2017,Regular,16
10664,45,2016 - 2017,Regular,15
10665,300,2016 - 2017,Regular,12
10667,346,2016 - 2017,Regular,19
10668,420,2016 - 2017,Regular,16
10670,326,2016 - 2017,Regular,13
10671,416,2016 - 2017,Regular,16
10672,64,2016 - 2017,Regular,7
10673,513,2016 - 2017,Regular,8
10674,287,2016 - 2017,Regular,6
10675,365,2016 - 2017,Regular,15
10676,2,2016 - 2017,Regular,8
10677,244,2016 - 2017,Regular,7
10678,7,2016 - 2017,Regular,13
10679,289,2016 - 2017,Regular,12
10680,185,2016 - 2017,Social,0
10682,251,2016 - 2017,Regular,9
10683,222,2016 - 2017,Regular,13
10684,408,2016 - 2017,Regular,16
10685,65,2016 - 2017,Regular,18
10686,100,2016 - 2017,Regular,9
10687,41,2016 - 2017,Regular,12
10688,109,2016 - 2017,Regular,8
10689,101,2016 - 2017,Regular,15
10691,161,2016 - 2017,Regular,11
10692,199,2016 - 2017,Regular,8
10693,217,2016 - 2017,Regular,5
10694,174,2016 - 2017,Regular,10
10695,304,2016 - 2017,Regular,16
10696,294,2016 - 2017,Regular,17
10697,535,2016 - 2017,Regular,12
10698,550,2016 - 2017,Regular,13
10699,551,2016 - 2017,Regular,17
10700,12,2016 - 2017,Honorary,0
10701,51,2016 - 2017,Life,0
10702,62,2016 - 2017,Honorary,0
10704,552,2016 - 2017,Regular,9
10705,554,2016 - 2017,Regular,10
10706,323,2016 - 2017,Regular,7
10707,432,2016 - 2017,Regular,8
10708,320,2016 - 2017,Regular,12
10709,338,2016 - 2017,Regular,17
10710,482,2016 - 2017,Regular,12
10711,487,2016 - 2017,Regular,7
10712,370,2016 - 2017,Regular,12
10713,512,2016 - 2017,Regular,2
10714,135,2016 - 2017,Regular,10
10715,75,2016 - 2017,Regular,18
10716,17,2016 - 2017,Regular,14
10718,128,2016 - 2017,Regular,10
10719,399,2016 - 2017,Regular,10
10720,308,2016 - 2017,Regular,11
10721,336,2016 - 2017,Social,0
10722,8,2016 - 2017,Regular,17
10723,344,2016 - 2017,Regular,18
10724,282,2016 - 2017,Regular,18
10725,345,2016 - 2017,Regular,19
10726,235,2016 - 2017,Regular,16
10727,60,2016 - 2017,Regular,20
10728,349,2016 - 2017,Regular,5
10729,94,2016 - 2017,Regular,17
10730,331,2016 - 2017,Regular,16
10731,55,2016 - 2017,Regular,8
10732,81,2016 - 2017,Regular,16
10733,176,2016 - 2017,Regular,3
10734,201,2016 - 2017,Regular,17
10735,437,2016 - 2017,Regular,12
10736,277,2016 - 2017,Regular,17
10737,182,2016 - 2017,Regular,8
10738,511,2016 - 2017,Regular,17
10739,509,2016 - 2017,Regular,6
10740,306,2016 - 2017,Regular,19
10741,179,2016 - 2017,Regular,8
10742,133,2016 - 2017,Regular,4
10743,87,2016 - 2017,Regular,5
10744,168,2016 - 2017,Regular,18
10746,378,2016 - 2017,Regular,16
10747,409,2016 - 2017,Regular,19
10748,305,2016 - 2017,Regular,16
10749,18,2016 - 2017,Regular,9
10750,167,2016 - 2017,Regular,15
10751,313,2016 - 2017,Regular,15
10752,440,2016 - 2017,Regular,9
10753,454,2016 - 2017,Regular,18
10755,187,2016 - 2017,Regular,8
10757,394,2016 - 2017,Regular,8
10758,144,2016 - 2017,Regular,2
10760,247,2016 - 2017,Regular,8
10761,203,2016 - 2017,Regular,5
10762,334,2016 - 2017,Regular,18
10763,115,2016 - 2017,Regular,17
10764,107,2016 - 2017,Regular,16
10765,22,2016 - 2017,Regular,13
10766,13,2016 - 2017,Regular,13
10767,455,2016 - 2017,Regular,8
10768,219,2016 - 2017,Mixed,8
10769,37,2016 - 2017,Regular,18
10770,384,2016 - 2017,Regular,17
10771,385,2016 - 2017,Regular,18
10772,298,2016 - 2017,Regular,13
10773,571,2016 - 2017,Regular,10
10774,496,2016 - 2017,Regular,17
10775,270,2016 - 2017,Regular,15
10776,575,2016 - 2017,Regular,18
10777,386,2016 - 2017,Regular,18
10778,276,2016 - 2017,Regular,15
10779,350,2016 - 2017,Regular,16
10780,322,2016 - 2017,Regular,15
10782,50,2016 - 2017,Regular,8
10783,514,2016 - 2017,Regular,17
10784,461,2016 - 2017,Regular,20
10785,265,2016 - 2017,Regular,4
10787,192,2016 - 2017,Regular,20
10788,61,2016 - 2017,Regular,19
10789,63,2016 - 2017,Senior,0
10790,579,2016 - 2017,Regular,13
10791,318,2016 - 2017,Regular,16
10792,44,2016 - 2017,Regular,13
10793,330,2016 - 2017,Regular,11
10794,268,2016 - 2017,Regular,16
10795,495,2016 - 2017,Regular,14
10796,364,2016 - 2017,Regular,12
10797,319,2016 - 2017,Regular,8
10798,246,2016 - 2017,Regular,7
10799,585,2016 - 2017,Regular,15
10800,586,2016 - 2017,Regular,15
10801,587,2016 - 2017,Regular,6
10802,418,2016 - 2017,Regular,13
10803,138,2016 - 2017,Regular,7
10804,377,2016 - 2017,Regular,14
10805,588,2016 - 2017,Life,0
10806,589,2016 - 2017,Regular,5
10807,146,2016 - 2017,Regular,19
10809,196,2016 - 2017,Regular,13
10810,593,2016 - 2017,Regular,7
10811,594,2016 - 2017,Regular,7
10812,598,2016 - 2017,Regular,4
10813,492,2016 - 2017,Regular,14
10814,445,2016 - 2017,Regular,6
10816,53,2016 - 2017,Regular,8
10817,605,2016 - 2017,Regular,17
10818,606,2016 - 2017,Life,0
10819,27,2016 - 2017,Regular,12
10820,608,2016 - 2017,Regular,15
10822,6,2016 - 2017,Regular,6
10823,195,2016 - 2017,Regular,17
10824,444,2016 - 2017,Regular,11
10825,178,2016 - 2017,Regular,7
10826,446,2016 - 2017,Regular,16
10827,193,2016 - 2017,Regular,20
10828,33,2016 - 2017,Regular,15
10829,615,2016 - 2017,Student,8
10831,180,2016 - 2017,Regular,11
10832,396,2016 - 2017,Regular,13
10833,127,2016 - 2017,Regular,11
10834,618,2016 - 2017,Regular,3
10835,624,2016 - 2017,Regular,10
10838,266,2016 - 2017,Regular,13
10839,145,2016 - 2017,Regular,8
10840,213,2016 - 2017,Senior,9
10841,631,2016 - 2017,Regular,9
10843,9,2016 - 2017,Regular,13
10844,634,2016 - 2017,Regular,16
10845,635,2016 - 2017,Regular,11
10846,638,2016 - 2017,Regular,8
10847,118,2016 - 2017,Regular,11
10848,640,2016 - 2017,Regular,8
10849,643,2016 - 2017,Regular,7
10850,645,2016 - 2017,Regular,5
10851,648,2016 - 2017,Regular,10
10852,649,2016 - 2017,Regular,4
10853,650,2016 - 2017,Regular,6
10854,387,2016 - 2017,Regular,12
10855,655,2016 - 2017,Honorary,0
10856,656,2016 - 2017,Honorary,0
10857,657,2016 - 2017,Honorary,0
10858,659,2016 - 2017,Regular,8
10859,675,2016 - 2017,Senior,0
10860,498,2016 - 2017,Regular,12
10861,677,2016 - 2017,Student,10
10864,690,2016 - 2017,Regular,5
10865,691,2016 - 2017,Regular,18
10866,697,2016 - 2017,Regular,6
10867,701,2016 - 2017,Regular,11
10868,707,2016 - 2017,Social,7
10871,712,2016 - 2017,Regular,7
10875,718,2016 - 2017,Regular,8
10876,723,2016 - 2017,Regular,7
10877,724,2016 - 2017,Regular,8
10878,726,2016 - 2017,Regular,8
10880,732,2016 - 2017,Regular,6
10881,263,2016 - 2017,Regular,17
10882,739,2016 - 2017,Regular,7
10883,742,2016 - 2017,Regular,7
10884,743,2016 - 2017,Regular,17
10885,746,2016 - 2017,Regular,9
10886,748,2016 - 2017,Regular,6
10887,755,2016 - 2017,Regular,5
10888,756,2016 - 2017,Regular,11
10889,757,2016 - 2017,Regular,6
10890,763,2016 - 2017,Regular,13
10891,173,2016 - 2017,Regular,7
